Symbol	Ensembl	Canonical	MANE
DDX11L1	ENST00000450305	Y	N
WASH7P	ENST00000488147	Y	N
MIR6859-1	ENST00000619216	Y	N
MIR1302-2HG	ENST00000473358	Y	N
MIR1302-2	ENST00000607096	Y	N
FAM138A	ENST00000417324	Y	N
OR4G4P	ENST00000606857	Y	N
OR4G11P	ENST00000492842	Y	N
OR4F5	ENST00000641515	Y	Y
ENSG00000239945	ENST00000495576	Y	N
ENSG00000238009	ENST00000477740	Y	N
CICP27	ENST00000442987	Y	N
ENSG00000268903	ENST00000494149	Y	N
ENSG00000269981	ENST00000595919	Y	N
ENSG00000239906	ENST00000493797	Y	N
ENSG00000241860	ENST00000466557	Y	N
RNU6-1100P	ENST00000410691	Y	N
ENSG00000241599	ENST00000496488	Y	N
DDX11L17	ENST00000624431	Y	N
WASH9P	ENST00000623083	Y	N
MIR6859-2	ENST00000612080	Y	N
ENSG00000228463	ENST00000450734	Y	N
ENSG00000286448	ENST00000669836	Y	N
RPL23AP24	ENST00000458203	Y	N
ENSG00000236601	ENST00000450983	Y	N
WBP1LP7	ENST00000437905	Y	N
OR4F29	ENST00000426406	Y	Y
ENSG00000237094	ENST00000445840	Y	N
CICP7	ENST00000432723	Y	N
ENSG00000250575	ENST00000514436	Y	N
U6	ENST00000614007	Y	N
ENSG00000235146	ENST00000423796	Y	N
MTND1P23	ENST00000416931	Y	N
MTND2P28	ENST00000457540	Y	N
MTCO1P12	ENST00000414273	Y	N
ENSG00000278791	ENST00000621981	Y	N
MTCO2P12	ENST00000427426	Y	N
MTATP8P1	ENST00000467115	Y	N
MTATP6P1	ENST00000514057	Y	N
MTCO3P12	ENST00000416718	Y	N
WBP1LP6	ENST00000438434	Y	N
OR4F16	ENST00000332831	Y	Y
ENSG00000230021	ENST00000636676	Y	N
CICP3	ENST00000440782	Y	N
RNU6-1199P	ENST00000411249	Y	N
ENSG00000229905	ENST00000422528	Y	N
ENSG00000228327	ENST00000428504	Y	N
LINC01409	ENST00000412115	Y	N
ENSG00000285268	ENST00000644482	Y	N
ENSG00000230092	ENST00000590817	Y	N
FAM87B	ENST00000326734	Y	N
LINC00115	ENST00000473798	Y	N
LINC01128	ENST00000445118	Y	N
ENSG00000288531	ENST00000661463	Y	N
FAM41C	ENST00000446136	Y	N
TUBB8P11	ENST00000415481	Y	N
ENSG00000283040	ENST00000635557	Y	N
ENSG00000272438	ENST00000607769	Y	N
ENSG00000230699	ENST00000448179	Y	N
ENSG00000241180	ENST00000398216	Y	N
LINC02593	ENST00000417705	Y	N
SAMD11	ENST00000616016	Y	Y
NOC2L	ENST00000327044	Y	Y
KLHL17	ENST00000338591	Y	Y
PLEKHN1	ENST00000379410	Y	Y
PERM1	ENST00000433179	Y	N
ENSG00000272512	ENST00000606034	Y	N
HES4	ENST00000304952	Y	Y
ENSG00000231702	ENST00000423619	Y	N
ENSG00000224969	ENST00000458555	Y	N
ISG15	ENST00000649529	Y	Y
AGRN	ENST00000379370	Y	Y
ENSG00000242590	ENST00000418300	Y	N
ENSG00000273443	ENST00000442292	Y	N
ENSG00000217801	ENST00000412397	Y	N
RNF223	ENST00000453464	Y	Y
C1orf159	ENST00000421241	Y	Y
ENSG00000285812	ENST00000648183	Y	N
LINC01342	ENST00000416774	Y	N
MIR200B	ENST00000384997	Y	N
MIR200A	ENST00000384875	Y	N
MIR429	ENST00000362106	Y	N
ENSG00000272141	ENST00000606993	Y	N
TTLL10-AS1	ENST00000379317	Y	N
TTLL10	ENST00000379289	Y	Y
TNFRSF18	ENST00000379268	Y	Y
TNFRSF4	ENST00000379236	Y	Y
SDF4	ENST00000360001	Y	Y
B3GALT6	ENST00000379198	Y	Y
C1QTNF12	ENST00000330388	Y	Y
ENSG00000260179	ENST00000565563	Y	N
UBE2J2	ENST00000349431	Y	Y
LINC01786	ENST00000434139	Y	N
SCNN1D	ENST00000379116	Y	Y
ACAP3	ENST00000354700	Y	Y
MIR6726	ENST00000613751	Y	N
PUSL1	ENST00000379031	Y	Y
INTS11	ENST00000435064	Y	Y
MIR6727	ENST00000620702	Y	N
ENSG00000240731	ENST00000444968	Y	N
CPTP	ENST00000343938	Y	Y
TAS1R3	ENST00000339381	Y	Y
DVL1	ENST00000378888	Y	Y
MIR6808	ENST00000616525	Y	N
MXRA8	ENST00000309212	Y	Y
AURKAIP1	ENST00000338338	Y	Y
NDUFB4P8	ENST00000435351	Y	N
CCNL2	ENST00000400809	Y	Y
MRPL20-AS1	ENST00000444362	Y	N
MRPL20	ENST00000344843	Y	Y
RN7SL657P	ENST00000582431	Y	N
MRPL20-DT	ENST00000607307	Y	N
ANKRD65	ENST00000537107	Y	Y
ENSG00000225905	ENST00000428932	Y	N
TMEM88B	ENST00000378821	Y	Y
LINC01770	ENST00000430109	Y	N
VWA1	ENST00000476993	Y	Y
ATAD3C	ENST00000378785	Y	Y
