Gene Symbol	Transcript	Source	Matches Old Trx 
A1BG	NM_130786	MANE	Y
A1BG-AS1	NR_015380	LongestTrx	Y
A1CF	NM_014576	MANE	N
A2M	NM_000014	MANE	Y
A2M-AS1	NR_137424	LongestTrx	N
A2ML1	NM_144670	MANE	Y
A2MP1	NR_040112	LongestTrx	Y
A3GALT2	NM_001080438	MANE	Y
A4GALT	NM_017436	MANE	Y
A4GNT	NM_016161	MANE	Y
AA06	NR_037584	LongestTrx	Y
AAAS	NM_015665	MANE	Y
AACS	NM_023928	MANE	Y
AACSP1	NR_135095	LongestTrx	N
AADAC	NM_001086	MANE	Y
AADACL2	NM_207365	MANE	Y
AADACL2-AS1	NR_110202	LongestTrx	Y
AADACL3	NM_001103170	MANE	Y
AADACL4	NM_001013630	MANE	Y
AADACP1	NR_026915	LongestTrx	Y
AADAT	NM_016228	MANE	Y
AAGAB	NM_024666	MANE	Y
AAK1	NM_014911	MANE	Y
AAMDC	NM_024684	UniProt	Y
AAMP	NM_001087	MANE	Y
AANAT	NM_001088	MANE	Y
AAR2	NM_001271874	MANE	Y
AARD	NM_001025357	MANE	Y
AARS1	NM_001605	MANE	Y
AARS2	NM_020745	MANE	Y
AARSD1	NM_001261434	MANE	N
AASDH	NM_181806	MANE	Y
AASDHPPT	NM_015423	MANE	Y
AASS	NM_005763	MANE	Y
AATBC	NR_026961	LongestTrx	Y
AATF	NM_012138	MANE	Y
AATK	NM_001080395	MANE	Y
ABALON	NR_131907	LongestTrx	N
ABAT	NM_020686	MANE	Y
ABCA1	NM_005502	MANE	Y
ABCA10	NM_080282	UniProt	Y
ABCA11P	NR_002451	LongestTrx	Y
ABCA12	NM_173076	MANE	Y
ABCA13	NM_152701	MANE	Y
ABCA17P	NR_003574	LongestTrx	Y
ABCA2	NM_001606	MANE	Y
ABCA3	NM_001089	MANE	Y
ABCA4	NM_000350	MANE	Y
ABCA5	NM_172232	MANE	Y
ABCA6	NM_080284	MANE	Y
ABCA7	NM_019112	MANE	Y
ABCA8	NM_001288985	MANE	N
ABCA9	NM_080283	MANE	Y
ABCA9-AS1	NR_126414	LongestTrx	N
ABCB1	NM_001348946	MANE	N
ABCB10	NM_012089	MANE	Y
ABCB11	NM_003742	MANE	Y
ABCB4	NM_000443	MANE	N
ABCB5	NM_001163941	MANE	Y
ABCB6	NM_005689	MANE	Y
ABCB7	NM_001271696	MANE	N
ABCB8	NM_007188	MANE	Y
ABCB9	NM_019625	MANE	Y
ABCC1	NM_004996	MANE	Y
ABCC10	NM_001198934	MANE	Y
ABCC11	NM_001370497	MANE	N
ABCC12	NM_033226	UniProt	Y
ABCC13	NR_003087	LongestTrx	Y
ABCC2	NM_000392	MANE	Y
ABCC3	NM_003786	MANE	Y
ABCC4	NM_005845	MANE	Y
ABCC5	NM_005688	MANE	Y
ABCC5-AS1	NR_046570	LongestTrx	Y
ABCC6	NM_001171	MANE	Y
ABCC6P1	NR_003569	LongestTrx	Y
ABCC6P2	NR_023387	LongestTrx	Y
ABCC8	NM_000352	MANE	Y
ABCC9	NM_005691	UniProt	N
ABCD1	NM_000033	MANE	Y
ABCD2	NM_005164	MANE	Y
ABCD3	NM_002858	MANE	Y
ABCD4	NM_005050	MANE	Y
ABCE1	NM_002940	MANE	Y
ABCF1	NM_001025091	MANE	Y
ABCF2	NM_007189	MANE	Y
ABCF2-H2BE1	NM_005692	UniProt	Y
ABCF3	NM_018358	UniProt	Y
ABCG1	NM_016818	MANE	N
ABCG2	NM_004827	MANE	Y
ABCG4	NM_022169	MANE	Y
ABCG5	NM_022436	MANE	Y
ABCG8	NM_022437	MANE	Y
ABHD1	NM_032604	MANE	Y
ABHD10	NM_018394	MANE	Y
ABHD11	NM_148912	MANE	Y
ABHD11-AS1	NR_026690	LongestTrx	Y
ABHD12	NM_001042472	MANE	N
ABHD12B	NM_001206673	MANE	Y
ABHD13	NM_032859	MANE	Y
ABHD14A	NM_015407	MANE	Y
ABHD14A-ACY1	NM_001316331	LongestTrx	N
ABHD14B	NM_001146314	MANE	Y
ABHD15	NM_198147	MANE	Y
ABHD16A	NM_021160	MANE	Y
ABHD16B	NM_080622	MANE	Y
ABHD17A	NM_001130111	MANE	Y
ABHD17B	NM_001025780	MANE	N
ABHD17C	NM_021214	MANE	Y
ABHD18	NM_001358451	MANE	N
ABHD2	NM_152924	MANE	Y
ABHD3	NM_138340	MANE	Y
ABHD4	NM_022060	UniProt	Y
ABHD5	NM_016006	MANE	Y
ABHD6	NM_001320126	MANE	N
ABHD8	NM_024527	MANE	Y
ABI1	NM_001012750	MANE	N
ABI2	NM_001375670	MANE	N
ABI3	NM_016428	MANE	Y
ABI3BP	NM_001375547	MANE	N
ABITRAM	NM_017832	MANE	Y
ABL1	NM_005157	MANE	N
ABL2	NM_007314	MANE	N
ABLIM1	NM_002313	UniProt	Y
ABLIM2	NM_001130083	MANE	Y
ABLIM3	NM_014945	MANE	Y
ABO	NM_020469	UniProt	Y
ABR	NM_021962	MANE	Y
ABRA	NM_139166	MANE	Y
ABRACL	NM_021243	MANE	Y
ABRAXAS1	NM_139076	MANE	Y
ABRAXAS2	NM_032182	MANE	Y
ABT1	NM_013375	MANE	Y
ABTB1	NM_172027	MANE	Y
ABTB2	NM_145804	MANE	Y
ACAA1	NM_001607	MANE	Y
ACAA2	NM_006111	MANE	Y
ACACA	NM_198834	MANE	Y
ACACB	NM_001093	UniProt	Y
ACAD10	NM_025247	MANE	N
ACAD11	NM_032169	MANE	N
ACAD8	NM_014384	MANE	Y
ACAD9	NM_014049	MANE	Y
ACADL	NM_001608	MANE	Y
ACADM	NM_000016	MANE	N
ACADS	NM_000017	MANE	Y
ACADSB	NM_001609	MANE	Y
