Symbol	Ensembl
DDX11L1	ENST00000450305
WASH7P	ENST00000488147
MIR1302-2HG	ENST00000473358
FAM138A	ENST00000417324
OR4G4P	ENST00000606857
OR4G11P	ENST00000492842
OR4F5	ENST00000641515
RP11-34P13.8	ENST00000495576
RP11-34P13.7	ENST00000477740
CICP27	ENST00000442987
RP11-34P13.15	ENST00000494149
RP11-34P13.16	ENST00000595919
RP11-34P13.14	ENST00000493797
RP11-34P13.13	ENST00000466557
RP11-34P13.9	ENST00000496488
AP006222.3	ENST00000669836
RP5-857K21.2	ENST00000423796
MTND1P23	ENST00000416931
MTND2P28	ENST00000457540
MTCO1P12	ENST00000414273
MTCO2P12	ENST00000427426
MTATP8P1	ENST00000467115
MTATP6P1	ENST00000514057
MTCO3P12	ENST00000416718
WBP1LP6	ENST00000438434
OR4F16	ENST00000332831
RP11-206L10.17	ENST00000636676
CICP3	ENST00000440782
RP11-206L10.4	ENST00000422528
RP11-206L10.2	ENST00000428504
LINC01409	ENST00000412115
RP11-206L10.18	ENST00000644482
RP11-206L10.8	ENST00000590817
FAM87B	ENST00000326734
LINC00115	ENST00000473798
LINC01128	ENST00000445118
RP11-206L10.19	ENST00000661463
FAM41C	ENST00000446136
TUBB8P11	ENST00000415481
FAM166AP3	ENST00000635557
RP11-54O7.16	ENST00000607769
RP11-54O7.1	ENST00000448179
RP11-54O7.2	ENST00000398216
LINC02593	ENST00000417705
SAMD11	ENST00000616016
NOC2L	ENST00000327044
KLHL17	ENST00000338591
PLEKHN1	ENST00000379410
PERM1	ENST00000433179
RP11-54O7.17	ENST00000606034
HES4	ENST00000304952
RP11-54O7.10	ENST00000423619
RP11-54O7.11	ENST00000458555
ISG15	ENST00000649529
AGRN	ENST00000379370
RP11-54O7.14	ENST00000418300
RP11-54O7.18	ENST00000442292
RP11-465B22.3	ENST00000412397
RNF223	ENST00000453464
C1orf159	ENST00000421241
RP11-465B22.9	ENST00000648183
LINC01342	ENST00000416774
RP11-465B22.8	ENST00000606993
TTLL10-AS1	ENST00000379317
TTLL10	ENST00000379289
TNFRSF18	ENST00000379268
TNFRSF4	ENST00000379236
SDF4	ENST00000360001
B3GALT6	ENST00000379198
C1QTNF12	ENST00000330388
RP5-902P8.12	ENST00000565563
UBE2J2	ENST00000349431
LINC01786	ENST00000434139
SCNN1D	ENST00000379116
ACAP3	ENST00000354700
PUSL1	ENST00000379031
INTS11	ENST00000435064
RP5-890O3.9	ENST00000444968
CPTP	ENST00000343938
TAS1R3	ENST00000339381
DVL1	ENST00000378888
MXRA8	ENST00000309212
AURKAIP1	ENST00000338370
NDUFB4P8	ENST00000435351
CCNL2	ENST00000400809
MRPL20-AS1	ENST00000444362
MRPL20	ENST00000344843
MRPL20-DT	ENST00000607307
ANKRD65	ENST00000537107
RP4-758J18.7	ENST00000428932
TMEM88B	ENST00000378821
LINC01770	ENST00000430109
VWA1	ENST00000476993
ATAD3C	ENST00000378785
ATAD3B	ENST00000673477
RP5-832C2.8	ENST00000641679
ATAD3A	ENST00000378756
TMEM240	ENST00000378733
SSU72	ENST00000291386
RP5-832C2.5	ENST00000647566
RP11-345P4.11	ENST00000621860
FNDC10	ENST00000422725
RP11-345P4.12	ENST00000658591
RP11-345P4.9	ENST00000607222
MIB2	ENST00000355826
MMP23B	ENST00000356026
CDK11B	ENST00000341832
RP11-345P4.10	ENST00000607013
SLC35E2B	ENST00000617444
RP11-345P4.6	ENST00000597891
MMP23A	ENST00000234610
CDK11A	ENST00000404249
RP1-283E3.8	ENST00000598846
SLC35E2A	ENST00000643943
RP1-283E3.4	ENST00000418950
NADK	ENST00000341426
GNB1	ENST00000378609
RP1-140A9.1	ENST00000412228
CALML6	ENST00000307786
TMEM52	ENST00000310991
CFAP74	ENST00000493964
RP11-547D24.1	ENST00000443930
GABRD	ENST00000378585
RP11-547D24.3	ENST00000449154
PRKCZ	ENST00000378567
RP5-892K4.1	ENST00000606533
PRKCZ-AS1	ENST00000333854
FAAP20	ENST00000378546
RP11-181G12.4	ENST00000442483
SKI	ENST00000378536
RP11-181G12.8	ENST00000661319
MORN1	ENST00000378531
RP4-713A8.1	ENST00000607720
RP4-740C4.5	ENST00000417061
RP4-740C4.7	ENST00000607858
RER1	ENST00000605895
PEX10	ENST00000447513
PLCH2	ENST00000378486
RP3-395M20.2	ENST00000424657
RP3-395M20.3	ENST00000442305
PANK4	ENST00000378466
HES5	ENST00000378453
