UCSC	Symbol	Refseq	Ensembl
uc001aak.3	FAM138F	NR_026820	ENST00000417324
uc001aal.1	OR4F5	NM_001005484	ENST00000335137
uc021oeg.2	LOC729737	NR_039983	ENST00000493797
uc010nxu.2	OR4F29	NM_001005277	ENST00000426406
uc010nxv.2	OR4F29	NM_001005277	ENST00000332831
uc001abo.3	LOC100288069	NR_033908	ENST00000428504
uc010nxx.2	LINC00115	NR_024321	ENST00000473798
uc001abp.2	LOC643837	NR_047520	ENST00000445118
uc001abt.4	FAM41C	NR_027055	ENST00000446136
uc010nxy.1	LOC100130417	NR_026874	ENST00000417705
uc001abw.1	SAMD11	NM_152486	ENST00000342066
uc001abz.4	NOC2L	NM_015658	ENST00000327044
uc001aca.2	KLHL17	NM_198317	ENST00000338591
uc001acd.3	PLEKHN1	NM_032129	ENST00000379410
uc001ach.2	C1orf170	NR_027693	ENST00000433179
uc001aci.2	HES4	NM_021170	ENST00000428771
uc001acj.4	ISG15	NM_005101	ENST00000379389
uc001ack.2	AGRN	NM_198576	ENST00000379370
uc021oen.1	RNF223	NM_001205252	ENST00000453464
uc001acu.2	C1orf159	NM_017891	ENST00000294576
uc001acv.3	LOC254099	NR_038869	ENST00000416774
uc001acw.2	MIR200B	NR_029639	ENST00000384997
uc010nye.1	MIR200A	NR_029834	ENST00000384875
uc010nyf.1	MIR429	NR_029957	ENST00000362106
uc001acy.2	TTLL10	NM_001130045	ENST00000379289
uc001add.3	TNFRSF18	NM_148901	ENST00000379268
uc001ade.3	TNFRSF4	NM_003327	ENST00000379236
uc001adh.4	SDF4	NM_016176	ENST00000263741
uc001adk.3	B3GALT6	NM_080605	ENST00000379198
uc001adl.2	FAM132A	NM_001014980	ENST00000330388
uc001ado.3	UBE2J2	NM_194315	ENST00000450390
uc001adt.1	SCNN1D	NM_001130413	ENST00000379116
uc001aeb.2	ACAP3	NM_030649	ENST00000354700
uc001aed.3	PUSL1	NM_153339	ENST00000379031
uc001aee.2	CPSF3L	NM_017871	ENST00000435064
uc001aeo.3	GLTPD1	NM_001029885	ENST00000343938
uc010nyk.2	TAS1R3	NM_152228	ENST00000339381
uc001aer.4	DVL1	NM_004421	ENST00000378891
uc001aew.3	MXRA8	NM_032348	ENST00000309212
uc009vkb.1	AURKAIP1	NM_001127230	ENST00000321751
uc001afi.2	CCNL2	NM_030937	ENST00000480479
uc001afm.3	LOC148413	NR_015434	ENST00000444362
uc001afo.4	MRPL20	NM_017971	ENST00000344843
uc010nyo.2	ANKRD65	NM_001145210	ENST00000537107
uc010nyp.2	TMEM88B	NM_001146685	ENST00000378821
uc001afs.3	VWA1	NM_022834	ENST00000476993
uc001aft.2	ATAD3C	NM_001039211	ENST00000378785
uc001afv.3	ATAD3B	NM_031921	ENST00000308647
uc001afz.2	ATAD3A	NM_018188	ENST00000378755
uc009vkf.3	TMEM240	NM_001114748	ENST00000378733
uc001agd.3	SSU72	NM_014188	ENST00000291386
uc021oes.1	C1orf233	NM_001242659	ENST00000422725
uc001agg.3	MIB2	NM_080875	ENST00000357210
uc001agp.3	MMP23B	NM_006983	ENST00000356026
uc001agv.1	CDK11B	NM_033486	ENST00000341832
uc001ahg.4	SLC35E2B	NM_001110781	ENST00000234800
uc001ahi.1	MMP23A	NR_002946	ENST00000412810
uc001aia.2	SLC35E2	NM_182838	ENST00000246421
uc001aie.3	NADK	NM_001198994	ENST00000378625
uc001aif.3	GNB1	NM_002074	ENST00000378609
uc001aih.1	CALML6	NM_138705	ENST00000307786
uc001aij.2	TMEM52	NM_178545	ENST00000310991
uc001aim.1	KIAA1751	NM_001080484	ENST00000270720
uc001aip.2	GABRD	NM_000815	ENST00000378585
uc001aiq.3	PRKCZ	NM_002744	ENST00000378567
uc031pkt.1	C1orf86	NM_001256945	ENST00000414253
uc001aja.4	SKI	NM_003036	ENST00000378536
uc001ajb.1	MORN1	NM_024848	ENST00000378531
uc001ajc.3	LOC100129534	NR_024489	ENST00000602865
uc001aje.2	RER1	NM_007033	ENST00000605895
uc001ajg.3	PEX10	NM_153818	ENST00000288774
uc001aji.1	PLCH2	NM_014638	ENST00000378486
uc001ajm.1	PANK4	NM_018216	ENST00000378466
uc001ajn.3	HES5	NM_001010926	ENST00000378453
uc021oev.1	LOC100133445	NR_037844	ENST00000416860
uc001ajr.3	TNFRSF14	NM_003820	ENST00000355716
uc001ajv.2	FAM213B	NM_001195736	ENST00000378424
uc001ajy.2	MMEL1	NM_033467	ENST00000288709
uc021oey.1	TTC34	NM_001242672	ENST00000401095
uc001ajz.3	ACTRT2	NM_080431	ENST00000378404
uc010nzg.1	FLJ42875	NR_024371	ENST00000321336
uc001akf.3	PRDM16	NM_022114	ENST00000441472
uc021oez.1	MIR4251	NR_036215	n/a
uc001akg.4	ARHGEF16	NM_014448	ENST00000378378
uc001akl.3	MEGF6	NM_001409	ENST00000356575
uc021ofa.1	MIR551A	NR_030277	ENST00000385042
uc001akm.3	TPRG1L	NM_182752	ENST00000378344
uc001ako.3	WRAP73	NM_017818	ENST00000270708
uc001akp.3	TP73	NM_005427	ENST00000378295
uc009vlm.3	TP73-AS1	NR_033711	ENST00000452079
uc001akv.2	CCDC27	NM_152492	ENST00000294600
uc001akw.4	SMIM1	NM_001163724	ENST00000444870
uc001akx.1	LRRC47	NM_020710	ENST00000378251
uc001aky.2	CEP104	NM_014704	ENST00000378230
uc001alc.3	DFFB	NM_004402	ENST00000378209
uc001alf.3	C1orf174	NM_207356	ENST00000474140
uc001alg.3	LOC100133612	NR_024455	ENST00000439488
uc001ali.2	LOC728716	NR_040065	ENST00000412674
uc001alj.2	LOC284661	NR_027088	ENST00000423197
uc001aln.3	AJAP1	NM_018836	ENST00000378191
uc021ofm.1	MIR4417	NR_039612	ENST00000579887
uc021ofn.1	MIR4689	NR_039838	ENST00000582517
uc001alq.2	NPHP4	NM_015102	ENST00000489180
uc001aly.2	KCNAB2	NM_001199862	ENST00000378083
uc001amb.2	CHD5	NM_015557	ENST00000262450
uc001amd.3	RPL22	NM_000983	ENST00000234875
uc001amg.3	RNF207	NM_207396	ENST00000377939
uc001amk.3	ICMT	NM_012405	ENST00000343813
uc009vly.2	HES3	NM_001024598	ENST00000377898
uc001amp.2	GPR153	NM_207370	ENST00000377893
uc001amt.3	ACOT7	NM_007274	ENST00000361521
uc001amx.3	HES2	NM_019089	ENST00000377834
uc001amy.3	ESPN	NM_031475	ENST00000377828
uc021ofo.1	MIR4252	NR_036218	ENST00000585139
uc001anh.3	TNFRSF25	NM_148965	ENST00000377782
uc010nzr.1	PLEKHG5	NM_001265593	ENST00000400913
uc001ans.3	NOL9	NM_024654	ENST00000377705
uc001ant.3	TAS1R1	NM_138697	ENST00000333172
uc001anx.3	ZBTB48	NM_005341	ENST00000377674
uc001aoa.3	KLHL21	NM_014851	ENST00000377658
uc001aob.4	PHF13	NM_153812	ENST00000377648
uc001aod.3	THAP3	NM_001195752	ENST00000054650
uc001aof.2	DNAJC11	NM_018198	ENST00000377577
uc001aoi.3	CAMTA1	NM_015215	ENST00000303635
uc001aol.3	VAMP3	NM_004781	ENST00000054666
uc001aoo.3	PER3	NM_016831	ENST00000377532
uc001aos.3	UTS2	NM_021995	ENST00000377516
uc001aot.3	TNFRSF9	NM_001561	ENST00000377507
uc001aox.4	PARK7	NM_007262	ENST00000338639
uc001aoz.3	ERRFI1	NM_018948	ENST00000377482
uc001apb.3	SLC45A1	NM_001080397	ENST00000289877
uc001apf.3	RERE	NM_001042681	ENST00000337907
uc001apj.2	ENO1	NM_001428	ENST00000234590
uc021oft.1	ENO1-AS1	NR_038351	ENST00000442636
uc031plc.1	CA6	NM_001270500	ENST00000377436
uc009vmo.1	SLC2A7	NM_207420	ENST00000400906
uc001apo.3	SLC2A5	NM_003039	ENST00000377424
uc001apq.1	GPR157	NM_024980	ENST00000377411
uc001apt.3	H6PD	NM_004285	ENST00000377403
uc010oae.2	SPSB1	NM_025106	ENST00000328089
uc001apw.3	SLC25A33	NM_032315	ENST00000302692
uc021ofy.1	TMEM201	NM_001130924	ENST00000377376
uc001aqb.4	PIK3CD	NM_005026	ENST00000536656
uc001aqc.4	C1orf200	NR_027045	ENST00000377320
uc001aqh.3	CLSTN1	NM_001009566	ENST00000377298
uc001aql.1	CTNNBIP1	NM_001012329	ENST00000377263
uc001aqm.3	LZIC	NM_032368	ENST00000377223
uc001aqp.3	NMNAT1	NM_022787	ENST00000377205
uc001aqq.3	RBP7	NM_052960	ENST00000315901
uc001aqs.4	UBE4B	NM_001105562	ENST00000377157
uc001aqw.4	KIF1B	NM_015074	ENST00000377086
uc001arc.3	PGD	NM_002631	ENST00000270776
uc021ogd.1	APITD1-CORT	NM_199006	ENST00000602296
uc001arj.3	DFFA	NM_004401	ENST00000377038
uc001arn.3	PEX14	NM_004565	ENST00000356607
uc001aro.4	CASZ1	NM_001079843	ENST00000377022
uc010oao.2	C1orf127	NM_001170754	ENST00000377004
uc001art.3	TARDBP	NM_007375	ENST00000240185
uc001aru.3	MASP2	NM_006610	ENST00000400897
uc001arz.1	SRM	NM_003132	ENST00000376957
uc001asa.3	EXOSC10	NM_001001998	ENST00000376936
uc001asd.3	MTOR	NM_004958	ENST00000361445
uc031plf.1	MTOR-AS1	NR_046600	ENST00000445982
uc001ase.4	ANGPTL7	NM_021146	ENST00000376819
uc001asg.3	UBIAD1	NM_013319	ENST00000376810
uc001ash.4	PTCHD2	NM_020780	ENST00000294484
uc001asj.3	FBXO2	NM_012168	ENST00000354287
uc001asm.3	FBXO44	NM_033182	ENST00000376770
uc001aso.3	FBXO6	NM_018438	ENST00000376753
uc009vnc.3	MAD2L2	NM_001127325	ENST00000235310
uc001asr.1	DRAXIN	NM_198545	ENST00000294485
uc001asv.3	AGTRAP	NM_020350	ENST00000314340
uc001atc.2	MTHFR	NM_005957	ENST00000376592
uc001ate.5	CLCN6	NM_001286	ENST00000346436
uc001ati.3	NPPA	NM_006172	ENST00000376480
uc001atj.3	NPPB	NM_002521	ENST00000376468
uc001atk.3	KIAA2013	NM_138346	ENST00000376572
uc001atm.3	PLOD1	NM_000302	ENST00000196061
uc009vni.3	MFN2	NM_001127660	ENST00000444836
uc001ato.2	MIIP	NM_021933	ENST00000235332
uc001atq.3	TNFRSF8	NM_001243	ENST00000263932
uc001att.3	TNFRSF1B	NM_001066	ENST00000376259
uc021ogi.1	MIR4632	NR_039775	ENST00000584158
uc001atv.3	VPS13D	NM_015378	ENST00000358136
uc001atz.1	SNORA59B	NR_003025	ENST00000459326
uc001auc.3	DHRS3	NM_004753	ENST00000376223
uc001auf.3	AADACL4	NM_001013630	ENST00000376221
uc009vnn.1	AADACL3	NM_001103170	ENST00000332530
uc001auh.3	C1orf158	NM_152290	ENST00000288048
uc001aui.3	PRAMEF12	NM_001080830	ENST00000357726
uc001auj.2	PRAMEF1	NM_023013	ENST00000332296
uc001auk.2	PRAMEF11	NM_001146344	ENST00000535591
uc009vno.2	LOC649330	NM_001146181	n/a
uc001aum.1	PRAMEF2	NM_023014	ENST00000240189
uc001aun.2	PRAMEF4	NM_001009611	ENST00000235349
uc001auo.3	PRAMEF10	NM_001039361	ENST00000235347
uc001aup.3	PRAMEF8	NM_001012276	ENST00000361079
uc001auq.2	PRAMEF6	NM_001010889	ENST00000376189
uc009vnq.1	PRAMEF22	NM_001100631	ENST00000376187
uc010obg.2	LOC440563	NM_001136561	ENST00000449855
uc001aut.1	PRAMEF3	NM_001100631	ENST00000376173
uc001auu.1	PRAMEF5	NM_001010889	ENST00000376168
uc001auv.3	PRAMEF8	NM_001012276	ENST00000357367
uc001auw.1	PRAMEF9	NM_001010890	ENST00000376152
uc010obi.1	PRAMEF13	NM_001024661	ENST00000376132
uc009vnu.1	PRAMEF19	NM_001099850	ENST00000376126
uc001aux.3	PRAMEF16	NM_001045480	ENST00000376121
uc009vnv.1	PRAMEF20	NM_001099852	ENST00000332192
uc001auy.2	PRAMEF8	NM_001012276	ENST00000359310
uc001ava.1	PRAMEF9	NM_001010890	ENST00000330087
uc009vny.1	PRAMEF19	NM_001099850	ENST00000540591
uc009vnz.1	PRAMEF17	NM_001099851	ENST00000376098
uc009voa.1	PRAMEF20	NM_001099852	ENST00000316412
uc001avb.3	LRRC38	NM_001010847	ENST00000376085
uc001avd.3	PDPN	NM_006474	ENST00000294489
uc001avi.3	PRDM2	NM_012231	ENST00000235372
uc001avm.4	KAZN	NM_201628	ENST00000376030
uc001avx.3	TMEM51	NM_018022	ENST00000376008
uc001awb.2	FHAD1	NM_052929	ENST00000358897
uc001awh.2	EFHD2	NM_024329	ENST00000375980
uc001awi.1	CTRC	NM_007272	ENST00000375949
uc001awk.3	CELA2A	NM_033440	ENST00000359621
uc001awl.3	CELA2B	NM_015849	ENST00000375910
uc001awn.4	CASP9	NM_001229	ENST00000546424
uc001aws.3	DNAJC16	NM_015291	ENST00000375847
uc001awv.2	AGMAT	NM_024758	ENST00000375826
uc001awx.2	DDI2	NM_032341	ENST00000480945
uc010obn.2	RSC1A1	NM_006511	ENST00000345034
uc010obo.2	PLEKHM2	NM_015164	ENST00000375799
uc001axb.1	SLC25A34	NM_207348	ENST00000294454
uc001axc.4	TMEM82	NM_001013641	ENST00000375782
uc001axe.1	FBLIM1	NM_017556	ENST00000375766
uc009vol.1	UQCRHL	NM_001089591	ENST00000538385
uc001axj.2	FLJ37453	NR_024279	ENST00000317122
uc001axk.1	SPEN	NM_015001	ENST00000375759
uc001axl.4	ZBTB17	NM_003443	ENST00000375733
uc001axn.3	C1orf64	NM_178840	ENST00000329454
uc001axo.2	HSPB7	NM_014424	ENST00000311890
uc001axu.3	CLCNKA	NM_004070	ENST00000375692
uc001axz.4	FAM131C	NM_182623	ENST00000375662
uc001aya.2	EPHA2	NM_004431	ENST00000358432
uc001ayc.1	ARHGEF19	NM_153213	ENST00000270747
uc001ayd.3	RSG1	NM_030907	ENST00000375599
uc001ayg.3	FBXO42	NM_018994	ENST00000375592
uc001aym.5	SZRD1	NM_001114600	ENST00000401088
uc001ayn.3	SPATA21	NM_198546	ENST00000335496
uc001ayq.3	NECAP2	NM_001145277	ENST00000337132
uc001ayt.2	CROCCP3	NR_023386	ENST00000263511
uc021ogu.1	MIR3675	NR_037446	ENST00000577341
uc001ayw.4	NBPF1	NM_017940	ENST00000430580
uc010och.2	MST1P2	NR_027504	ENST00000334429
uc021ogy.1	MIR3675	NR_037446	ENST00000584111
uc001azn.1	ESPNP	NR_026567	ENST00000492551
uc001azt.2	CROCC	NM_014675	ENST00000375541
uc010ock.3	MST1L	NM_001271733	ENST00000389184
uc021ohc.1	MIR3675	NR_037446	ENST00000583661
uc001azw.3	MFAP2	NM_002403	ENST00000375535
uc001baa.2	ATP13A2	NM_022089	ENST00000452699
uc001bae.3	SDHB	NM_003000	ENST00000375499
uc001baf.3	PADI2	NM_007365	ENST00000375486
uc001bah.1	PADI1	NM_013358	ENST00000375471
uc001bai.3	PADI3	NM_016233	ENST00000375460
uc001baj.2	PADI4	NM_012387	ENST00000375448
uc001bak.1	PADI6	NM_207421	ENST00000358481
uc001bal.3	RCC2	NM_001136204	ENST00000375436
uc001ban.3	ARHGEF10L	NM_018125	ENST00000361221
uc001bat.3	ACTL8	NM_030812	ENST00000375406
uc001bau.2	IGSF21	NM_032880	ENST00000251296
uc001bax.3	KLHDC7A	NM_152375	ENST00000400664
uc001bay.3	PAX7	NM_002584	ENST00000375375
uc001bba.1	TAS1R2	NM_152232	ENST00000375371
uc001bbc.3	ALDH4A1	NM_003748	ENST00000375341
uc021ohm.2	MIR4695	NR_039844	ENST00000577305
uc001bbd.2	IFFO2	NM_001136265	ENST00000455833
uc001bbi.3	UBR4	NM_020765	ENST00000375254
uc001bbo.4	EMC1	NM_015047	ENST00000477853
uc001bbs.3	MRTO4	NM_016183	ENST00000330263
uc021ohn.1	AKR7L	NR_040288	ENST00000420396
uc001bbv.1	AKR7A3	NM_012067	ENST00000361640
uc021ohp.1	LOC100506730	NR_037847	n/a
uc001bbw.3	AKR7A2	NM_003689	ENST00000235835
uc001bby.3	PQLC2	NM_017765	ENST00000375155
uc021ohr.1	CAPZB	NM_001206540	ENST00000401084
uc001bcj.2	NBL1	NM_182744	ENST00000548815
uc021ohu.1	MINOS1	NM_001204083	ENST00000322753
uc021ohx.2	RPS14P3	NR_077246	ENST00000457263
uc001bcl.3	HTR6	NM_000871	ENST00000289753
uc001bcn.3	TMCO4	NM_181719	ENST00000294543
uc001bcr.3	RNF186	NM_019062	ENST00000375121
uc001bcs.4	OTUD3	NM_015207	ENST00000375120
uc001bct.1	PLA2G2E	NM_014589	ENST00000375116
uc010odb.2	PLA2G2A	NM_001161728	ENST00000400520
uc001bcy.3	PLA2G5	NM_000929	ENST00000375108
uc001bcz.4	PLA2G2D	NM_012400	ENST00000375105
uc009vpp.1	PLA2G2F	NM_022819	ENST00000375102
uc009vpq.1	PLA2G2C	NM_001105572	ENST00000247992
uc001bdb.3	UBXN10	NM_152376	ENST00000375099
uc009vps.2	VWA5B1	NM_001039500	ENST00000289815
uc001bdf.2	LOC339505	NR_033887	ENST00000426428
uc001bdh.3	CAMK2N1	NM_018584	ENST00000375078
uc001bdi.4	MUL1	NM_024544	ENST00000264198
uc001bdj.3	FAM43B	NM_207334	ENST00000332947
uc001bdk.3	CDA	NM_001785	ENST00000375071
