Symbol	Ensembl	Canonical	MANE
DDX11L1	ENST00000450305	Y	N
WASH7P	ENST00000488147	Y	N
MIR1302-2HG	ENST00000473358	Y	N
FAM138A	ENST00000417324	Y	N
OR4G4P	ENST00000606857	Y	N
OR4G11P	ENST00000492842	Y	N
OR4F5	ENST00000641515	Y	Y
CICP27	ENST00000442987	Y	N
MTND1P23	ENST00000416931	Y	N
MTND2P28	ENST00000457540	Y	N
MTCO1P12	ENST00000414273	Y	N
MTCO2P12	ENST00000427426	Y	N
MTATP8P1	ENST00000467115	Y	N
MTATP6P1	ENST00000514057	Y	N
MTCO3P12	ENST00000416718	Y	N
WBP1LP6	ENST00000438434	Y	N
OR4F16	ENST00000332831	Y	N
CICP3	ENST00000440782	Y	N
LINC01409	ENST00000412115	Y	N
FAM87B	ENST00000326734	Y	N
LINC00115	ENST00000473798	Y	N
LINC01128	ENST00000445118	Y	N
FAM41C	ENST00000446136	Y	N
TUBB8P11	ENST00000415481	Y	N
LINC02593	ENST00000417705	Y	N
SAMD11	ENST00000616016	Y	Y
NOC2L	ENST00000327044	Y	Y
KLHL17	ENST00000338591	Y	Y
PLEKHN1	ENST00000379410	Y	Y
PERM1	ENST00000433179	Y	N
HES4	ENST00000304952	Y	Y
ISG15	ENST00000649529	Y	Y
AGRN	ENST00000379370	Y	Y
RNF223	ENST00000453464	Y	Y
C1orf159	ENST00000421241	Y	Y
LINC01342	ENST00000416774	Y	N
TTLL10-AS1	ENST00000379317	Y	N
TTLL10	ENST00000379289	Y	Y
TNFRSF18	ENST00000379268	Y	Y
TNFRSF4	ENST00000379236	Y	Y
SDF4	ENST00000360001	Y	Y
B3GALT6	ENST00000379198	Y	Y
C1QTNF12	ENST00000330388	Y	Y
UBE2J2	ENST00000349431	Y	Y
LINC01786	ENST00000434139	Y	N
SCNN1D	ENST00000379116	Y	Y
ACAP3	ENST00000354700	Y	Y
PUSL1	ENST00000379031	Y	Y
INTS11	ENST00000435064	Y	Y
CPTP	ENST00000343938	Y	Y
TAS1R3	ENST00000339381	Y	Y
DVL1	ENST00000378888	Y	Y
MXRA8	ENST00000309212	Y	Y
AURKAIP1	ENST00000338370	Y	N
NDUFB4P8	ENST00000435351	Y	N
CCNL2	ENST00000400809	Y	Y
MRPL20-AS1	ENST00000444362	Y	N
MRPL20	ENST00000344843	Y	Y
MRPL20-DT	ENST00000607307	Y	N
ANKRD65	ENST00000537107	Y	Y
TMEM88B	ENST00000378821	Y	Y
LINC01770	ENST00000430109	Y	N
VWA1	ENST00000476993	Y	Y
ATAD3C	ENST00000378785	Y	Y
ATAD3B	ENST00000673477	Y	Y
ATAD3A	ENST00000378756	Y	Y
TMEM240	ENST00000378733	Y	Y
SSU72	ENST00000291386	Y	Y
FNDC10	ENST00000422725	Y	Y
MIB2	ENST00000355826	Y	Y
MMP23B	ENST00000356026	Y	Y
CDK11B	ENST00000341832	Y	Y
SLC35E2B	ENST00000617444	Y	Y
MMP23A	ENST00000234610	Y	N
CDK11A	ENST00000404249	Y	Y
SLC35E2A	ENST00000643943	Y	N
NADK	ENST00000341426	Y	Y
GNB1	ENST00000378609	Y	Y
CALML6	ENST00000307786	Y	Y
TMEM52	ENST00000310991	Y	Y
CFAP74	ENST00000493964	Y	N
GABRD	ENST00000378585	Y	Y
PRKCZ	ENST00000378567	Y	Y
PRKCZ-AS1	ENST00000333854	Y	N
FAAP20	ENST00000378546	Y	Y
SKI	ENST00000378536	Y	Y
MORN1	ENST00000378531	Y	Y
RER1	ENST00000605895	Y	Y
PEX10	ENST00000447513	Y	Y
PLCH2	ENST00000378486	Y	Y
PANK4	ENST00000378466	Y	Y
HES5	ENST00000378453	Y	Y
TNFRSF14-AS1	ENST00000416860	Y	N
TNFRSF14	ENST00000355716	Y	Y
PRXL2B	ENST00000419916	Y	Y
MMEL1	ENST00000378412	Y	Y
MMEL1-AS1	ENST00000427302	Y	N
TTC34	ENST00000401095	Y	N
ACTRT2	ENST00000378404	Y	Y
PRDM16-DT	ENST00000445317	Y	N
PRDM16	ENST00000270722	Y	Y
ARHGEF16	ENST00000378378	Y	Y
MEGF6	ENST00000356575	Y	Y
TPRG1L	ENST00000378344	Y	Y
WRAP73	ENST00000270708	Y	Y
TP73	ENST00000378295	Y	Y
TP73-AS3	ENST00000443034	Y	N
TP73-AS2	ENST00000416554	Y	N
TP73-AS1	ENST00000637775	Y	N
CCDC27	ENST00000294600	Y	Y
SMIM1	ENST00000642557	Y	Y
LRRC47	ENST00000378251	Y	Y
CEP104	ENST00000378230	Y	Y
DFFB	ENST00000378209	Y	Y
C1orf174	ENST00000361605	Y	Y
LINC01134	ENST00000442673	Y	N
LINC01346	ENST00000412674	Y	N
LINC01345	ENST00000635247	Y	N
LINC02780	ENST00000642026	Y	N
EEF1DP6	ENST00000449232	Y	N
LINC01777	ENST00000635002	Y	N
LINC01646	ENST00000634256	Y	N
